date,venue,city,team1_id,team2_id,toss_winner_id,toss_decision,outcome,winner_id,win_margin,win_type,player_of_match
2018-04-21,M.Chinnaswamy Stadium,Bengaluru,14,17,17,field,win,17,,,
2010-04-13,Brabourne Stadium,Mumbai,1,14,1,bat,win,1,,,
2009-04-29,Kingsmead,Durban,17,,,bat,win,17,,,
2019-04-29,Rajiv Gandhi International Stadium,Hyderabad,8,13,13,field,win,8,,,50
2011-04-12,M Chinnaswamy Stadium,Bangalore,17,1,1,field,win,1,,,
2015-05-16,"Punjab Cricket Association Stadium, Mohali",Chandigarh,13,2,13,bat,win,2,,,
2018-05-03,Eden Gardens,Kolkata,2,,,field,win,,,,88
2009-04-20,St George's Park,Port Elizabeth,17,2,2,bat,win,2,,,
2009-04-30,SuperSport Park,Centurion,2,6,6,field,win,2,,,
2019-03-23,MA Chidambaram Stadium,Chennai,17,2,2,field,win,2,,,
2009-04-24,Kingsmead,Durban,17,13,17,bat,win,13,,,
2019-04-15,Wankhede Stadium,Mumbai,17,1,1,field,win,1,,,
2008-05-21,"MA Chidambaram Stadium, Chepauk",Chennai,2,17,17,bat,win,17,,,
2008-05-07,Dr DY Patil Sports Academy,Mumbai,1,6,1,field,win,1,,,
2009-05-09,De Beers Diamond Oval,Kimberley,2,6,6,bat,win,2,,,
2024-04-21,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,5,16,5,bat,win,16,,,66
2016-05-14,Eden Gardens,Kolkata,,12,12,bat,win,,,,
2016-05-11,M Chinnaswamy Stadium,Bangalore,17,1,1,field,win,1,,,122
2020-10-18,Sheikh Zayed Stadium,Abu Dhabi,,8,8,field,tie,,,,218
2025-03-30,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,8,3,8,bat,win,3,,,101
2011-05-07,Eden Gardens,Kolkata,,2,2,bat,win,,,,
2013-05-18,Himachal Pradesh Cricket Association Stadium,Dharamsala,13,1,1,field,win,13,,,
2016-04-18,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,8,1,8,field,win,8,,,50
2013-04-10,"Punjab Cricket Association Stadium, Mohali",Chandigarh,13,2,2,field,win,2,,,
2025-03-30,"Barsapara Cricket Stadium, Guwahati",Guwahati,6,2,2,field,win,6,,,93
2009-04-28,SuperSport Park,Centurion,14,6,14,bat,win,6,,,
2019-04-05,M.Chinnaswamy Stadium,Bengaluru,17,,,field,win,,,,95
2018-05-16,Wankhede Stadium,Mumbai,1,13,13,field,win,1,,,136
2021-04-21,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,5,8,5,bat,win,8,,,164
2013-04-16,M Chinnaswamy Stadium,Bangalore,17,14,17,field,tie,,,,223
2023-04-22,"Wankhede Stadium, Mumbai",Mumbai,5,1,1,field,win,5,,,166
2015-05-15,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,8,17,8,bat,win,17,,,223
2016-05-13,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,1,13,1,bat,win,13,,,126
2012-04-17,M Chinnaswamy Stadium,Bangalore,17,9,9,bat,win,17,,,
2014-05-08,"Sardar Patel Stadium, Motera",Ahmedabad,6,8,6,field,win,8,,,246
2018-04-10,MA Chidambaram Stadium,Chennai,,2,2,field,win,2,,,
2017-04-18,Saurashtra Cricket Association Stadium,Rajkot,11,17,11,field,win,17,,,
2025-04-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,16,15,15,field,win,15,,,248
2023-04-06,"Eden Gardens, Kolkata",Kolkata,,17,17,field,win,,,,24
2025-04-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,8,16,16,field,win,16,,,226
2022-03-29,"Maharashtra Cricket Association Stadium, Pune",Pune,6,8,8,field,win,6,,,187
2014-05-24,Eden Gardens,Kolkata,,8,,field,win,,,,
2011-04-30,Nehru Stadium,Kochi,10,14,14,bat,win,14,,,
2019-04-30,M.Chinnaswamy Stadium,Bengaluru,17,6,6,field,no result,,,,
2010-03-25,"Brabourne Stadium, Mumbai",Mumbai,2,1,1,field,win,1,,,
2022-04-25,"Wankhede Stadium, Mumbai",Mumbai,5,2,2,field,win,5,,,162
2009-05-10,New Wanderers Stadium,Johannesburg,14,,14,field,win,14,,,118
2014-04-19,Dubai International Cricket Stadium,Unknown,17,1,17,field,win,17,,,
2024-03-27,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,8,1,1,field,win,8,,,238
2022-05-01,"Wankhede Stadium, Mumbai",Mumbai,15,3,15,bat,win,15,,,119
2015-05-12,Shaheed Veer Narayan Singh International Stadium,Raipur,14,2,2,bat,win,14,,,
2021-09-26,Dubai International Cricket Stadium,Dubai,17,1,1,field,win,17,,,225
2025-04-05,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,3,2,3,bat,win,3,,,107
2018-04-16,Eden Gardens,Kolkata,,14,14,field,win,,,,93
2017-05-19,M Chinnaswamy Stadium,Bangalore,1,,1,field,win,1,,,231
2014-06-01,M Chinnaswamy Stadium,Bangalore,,13,,field,win,,,,89
2012-04-14,Subrata Roy Sahara Stadium,Pune,9,2,2,bat,win,9,,,
2015-04-24,"Sardar Patel Stadium, Motera",Ahmedabad,6,17,17,field,win,17,,,101
2021-04-18,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,17,,17,bat,win,17,,,
2017-05-11,Wankhede Stadium,Mumbai,1,13,1,field,win,13,,,65
2014-05-23,Wankhede Stadium,Mumbai,1,14,14,field,win,1,,,
2013-05-03,Eden Gardens,Kolkata,,6,6,bat,win,,,,
2011-04-20,Wankhede Stadium,Mumbai,1,9,9,bat,win,1,,,
2015-04-25,Wankhede Stadium,Mumbai,1,8,1,bat,win,1,,,
2019-03-30,Arun Jaitley Stadium,Delhi,,3,3,field,tie,,,,47
2011-05-01,"MA Chidambaram Stadium, Chepauk",Chennai,2,18,2,bat,win,2,,,
2015-04-11,"MA Chidambaram Stadium, Chepauk",Chennai,2,8,2,bat,win,2,,,
2024-04-27,"Arun Jaitley Stadium, Delhi",Delhi,3,1,1,field,win,3,,,34
2025-03-23,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,2,2,field,win,2,,,63
2013-05-12,Sawai Mansingh Stadium,Jaipur,6,2,6,field,win,6,,,
2019-05-12,Rajiv Gandhi International Stadium,Hyderabad,1,2,1,bat,win,1,,,136
2013-04-12,Feroz Shah Kotla,Delhi,14,8,14,bat,win,8,,,118
2022-05-06,"Brabourne Stadium, Mumbai",Mumbai,1,16,16,field,win,1,,,139
2012-05-10,Sawai Mansingh Stadium,Jaipur,6,2,2,field,win,2,,,
2021-04-18,"Wankhede Stadium, Mumbai",Mumbai,5,3,3,field,win,3,,,162
2012-04-29,Feroz Shah Kotla,Delhi,14,6,14,bat,win,14,,,
2022-04-02,"Maharashtra Cricket Association Stadium, Pune",Pune,16,3,3,field,win,16,,,218
2014-05-22,JSCA International Stadium Complex,Ranchi,2,8,8,field,win,8,,,50
2025-03-31,"Wankhede Stadium, Mumbai",Mumbai,,1,1,field,win,1,,,
2012-05-04,"MA Chidambaram Stadium, Chepauk",Chennai,2,18,2,bat,win,2,,,
2013-04-20,Eden Gardens,Kolkata,,2,,bat,win,2,,,10
2018-04-14,Eden Gardens,Kolkata,,8,8,field,win,8,,,
2020-10-14,Dubai International Cricket Stadium,Unknown,3,6,3,bat,win,3,,,41
2014-05-10,Wankhede Stadium,Mumbai,1,2,2,field,win,2,,,
2024-04-21,"Eden Gardens, Kolkata",Kolkata,,7,7,field,win,,,,95
2015-04-23,Feroz Shah Kotla,Delhi,14,1,1,field,win,14,,,81
2021-09-22,Dubai International Cricket Stadium,Dubai,8,3,8,bat,win,3,,,41
2017-04-11,Maharashtra Cricket Association Stadium,Pune,19,14,19,field,win,14,,,187
2011-05-25,Wankhede Stadium,Mumbai,1,,1,field,win,1,,,
2014-04-27,Sharjah Cricket Stadium,Unknown,14,1,1,bat,win,14,,,
2024-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2,8,8,field,win,8,,,238
2024-05-04,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,16,7,7,field,win,7,,,226
2020-10-10,Dubai International Cricket Stadium,Unknown,17,2,17,bat,win,17,,,223
2019-04-18,Arun Jaitley Stadium,Delhi,1,3,1,bat,win,1,,,134
2012-04-11,Wankhede Stadium,Mumbai,1,6,6,field,win,1,,,
2010-03-27,"Punjab Cricket Association Stadium, Mohali",Chandigarh,13,,,bat,win,,,,
2013-04-15,"MA Chidambaram Stadium, Chepauk",Chennai,2,9,9,bat,win,9,,,
2009-05-10,St George's Park,Port Elizabeth,17,1,1,bat,win,1,,,
2010-04-05,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,18,6,6,bat,win,6,,,
2013-05-22,Feroz Shah Kotla,Delhi,6,8,8,bat,win,6,,,
2012-04-05,Eden Gardens,Kolkata,,14,14,field,win,14,,,
2021-04-17,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,8,1,bat,win,1,,,
2022-04-27,"Wankhede Stadium, Mumbai",Mumbai,8,16,16,field,win,16,,,256
2008-05-26,Sawai Mansingh Stadium,Jaipur,6,1,6,field,win,6,,,
2011-05-18,"MA Chidambaram Stadium, Chepauk",Chennai,2,10,2,bat,win,2,,,65
2025-05-02,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,16,8,8,field,win,16,,,209
2023-04-30,"Wankhede Stadium, Mumbai",Mumbai,6,1,6,bat,win,1,,,198
2012-05-17,Feroz Shah Kotla,Delhi,14,17,14,field,win,17,,,
2023-04-21,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,8,2,2,field,win,2,,,10
2024-05-21,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,8,,8,bat,win,,,,101
2018-04-07,Wankhede Stadium,Mumbai,1,2,2,field,win,2,,,
2012-05-11,Subrata Roy Sahara Stadium,Pune,9,17,9,field,win,17,,,
2019-04-26,MA Chidambaram Stadium,Chennai,1,2,2,field,win,1,,,151
2010-04-25,Dr DY Patil Sports Academy,Mumbai,2,1,2,bat,win,2,,,
2018-05-19,Sawai Mansingh Stadium,Jaipur,6,17,6,bat,win,6,,,141
2015-04-29,M Chinnaswamy Stadium,Bangalore,17,6,6,field,no result,,,,
2021-09-30,Sharjah Cricket Stadium,Sharjah,8,2,2,field,win,2,,,
2022-04-10,"Wankhede Stadium, Mumbai",Mumbai,6,15,15,field,win,6,,,194
2021-04-11,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,,8,8,field,win,,,,93
2008-05-10,"MA Chidambaram Stadium, Chepauk",Chennai,2,13,13,field,win,2,,,
2022-04-01,"Wankhede Stadium, Mumbai",Mumbai,5,,,field,win,,,,78
2022-04-26,"Maharashtra Cricket Association Stadium, Pune",Pune,6,17,17,field,win,6,,,203
2008-05-09,Sawai Mansingh Stadium,Jaipur,6,18,6,field,win,6,,,
2025-04-08,"Eden Gardens, Kolkata",Kolkata,15,,,field,win,15,,,123
2010-03-21,Barabati Stadium,Cuttack,18,14,18,bat,win,18,,,
2025-03-27,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,8,15,15,field,win,15,,,24
2022-05-19,"Wankhede Stadium, Mumbai",Mumbai,16,17,16,bat,win,17,,,223
2023-05-19,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,5,6,6,field,win,6,,,121
2020-10-08,Dubai International Cricket Stadium,Unknown,8,13,8,bat,win,8,,,164
2012-05-08,Subrata Roy Sahara Stadium,Pune,9,6,9,bat,win,6,,,
2021-04-09,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,17,17,field,win,17,,,173
2018-05-09,Eden Gardens,Kolkata,1,,,field,win,1,,,142
2025-04-08,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,5,2,5,bat,win,5,,,
2013-04-14,Eden Gardens,Kolkata,,8,,bat,win,,,,
2011-05-12,"MA Chidambaram Stadium, Chepauk",Chennai,2,14,2,bat,win,2,,,6
2022-04-23,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,16,,16,bat,win,16,,,64
2024-04-27,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,15,6,6,field,win,6,,,187
2011-05-03,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,18,,18,field,win,,,,
2023-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,1,8,8,field,win,1,,,219
2008-05-23,"Punjab Cricket Association Stadium, Mohali",Chandigarh,13,18,13,field,win,13,,,
2011-04-25,"MA Chidambaram Stadium, Chepauk",Chennai,2,9,9,field,win,2,,,
2021-10-02,Sharjah Cricket Stadium,Sharjah,1,3,3,field,win,3,,,43
2014-05-13,M Chinnaswamy Stadium,Bangalore,17,14,14,field,win,17,,,
2012-05-23,M Chinnaswamy Stadium,Bangalore,2,1,1,field,win,2,,,6
2013-05-12,JSCA International Stadium Complex,Ranchi,,17,,field,win,,,,
2013-05-16,Himachal Pradesh Cricket Association Stadium,Dharamsala,13,14,14,field,win,13,,,60
2012-04-25,"Punjab Cricket Association Stadium, Mohali",Chandigarh,13,1,13,bat,win,1,,,
2024-05-22,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,7,6,6,field,win,6,,,189
2008-05-01,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,18,13,13,field,win,13,,,
2013-04-04,M Chinnaswamy Stadium,Bangalore,17,1,1,field,win,17,,,
2012-04-28,Eden Gardens,Kolkata,,17,,bat,win,,,,
2016-04-27,Feroz Shah Kotla,Delhi,14,11,14,field,win,11,,,
2012-05-12,"MA Chidambaram Stadium, Chepauk",Chennai,2,14,2,field,win,2,,,
2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,8,14,8,bat,win,8,,,76
2018-04-21,Eden Gardens,Kolkata,,13,13,field,win,13,,,107
2014-04-20,Sharjah Cricket Stadium,Unknown,6,13,13,field,win,13,,,225
2015-04-22,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,8,,,field,win,8,,,50
2011-05-08,M Chinnaswamy Stadium,Bangalore,17,10,10,bat,win,17,,,
2018-05-08,Sawai Mansingh Stadium,Jaipur,6,13,6,bat,win,6,,,193
2023-05-10,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,3,2,bat,win,2,,,10
2015-05-11,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,8,13,8,bat,win,8,,,50
2013-04-17,Maharashtra Cricket Association Stadium,Pune,9,8,9,field,win,8,,,118
2023-05-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,17,15,17,bat,win,17,,,211
2010-04-19,Eden Gardens,Kolkata,,1,1,bat,win,,,,
2024-05-08,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,15,8,15,bat,win,8,,,243
2024-04-14,"Eden Gardens, Kolkata",Kolkata,15,,,field,win,,,,99
2012-05-15,Feroz Shah Kotla,Delhi,14,13,13,bat,win,14,,,78
2013-04-13,"MA Chidambaram Stadium, Chepauk",Chennai,2,17,2,field,win,2,,,10
2021-10-04,Dubai International Cricket Stadium,Dubai,2,3,3,field,win,3,,,43
2015-05-03,Brabourne Stadium,Mumbai,6,14,14,field,win,6,,,16
2016-05-04,Eden Gardens,Kolkata,,13,13,field,win,,,,95
2013-05-05,Sawai Mansingh Stadium,Jaipur,6,9,9,bat,win,6,,,16
2021-04-27,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,17,3,3,field,win,17,,,
2008-05-08,Eden Gardens,Kolkata,,17,,bat,win,,,,
2022-04-22,"Wankhede Stadium, Mumbai",Mumbai,6,3,3,field,win,6,,,193
2020-10-01,Sheikh Zayed Stadium,Abu Dhabi,1,13,13,field,win,1,,,
2009-04-25,Kingsmead,Durban,18,1,18,bat,win,18,,,
2011-05-13,Holkar Cricket Stadium,Indore,10,13,13,field,win,13,,,222
2012-04-22,Barabati Stadium,Cuttack,18,,,field,win,,,,
2016-04-13,Eden Gardens,Kolkata,,1,1,field,win,1,,,151
2016-04-17,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,13,12,12,bat,win,13,,,
2019-04-20,Arun Jaitley Stadium,Delhi,13,3,3,field,win,3,,,81
2022-03-27,"Brabourne Stadium, Mumbai",Mumbai,1,3,3,field,win,3,,,36
2018-04-08,Punjab Cricket Association IS Bindra Stadium,Chandigarh,14,13,13,field,win,13,,,107
2020-10-04,Sharjah Cricket Stadium,Unknown,1,8,1,bat,win,1,,,191
2025-05-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,3,8,8,field,no result,,,,
2014-05-06,Wankhede Stadium,Mumbai,1,17,17,field,win,1,,,151
2024-05-18,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,7,2,2,field,win,7,,,211
2019-03-31,MA Chidambaram Stadium,Chennai,2,6,6,field,win,2,,,6
2009-04-22,Newlands,Cape Town,17,18,18,bat,win,18,,,
2012-05-02,M Chinnaswamy Stadium,Bangalore,17,13,13,field,win,13,,,
2024-05-07,"Arun Jaitley Stadium, Delhi",Delhi,3,6,6,field,win,3,,,36
2021-09-29,Dubai International Cricket Stadium,Dubai,6,17,17,field,win,17,,,194
2011-05-10,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,18,9,18,bat,win,9,,,39
2023-04-05,"Barsapara Cricket Stadium, Guwahati",Guwahati,5,6,6,field,win,5,,,168
2022-05-16,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,3,5,5,field,win,3,,,24
2020-10-03,Sheikh Zayed Stadium,Abu Dhabi,6,17,6,bat,win,17,,,194
2022-04-21,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,1,2,2,field,win,2,,,13
2023-05-29,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,16,2,2,field,win,2,,,26
2011-04-10,Dr DY Patil Sports Academy,Mumbai,9,13,13,bat,win,9,,,
2024-04-20,"Arun Jaitley Stadium, Delhi",Delhi,8,3,3,field,win,8,,,243
2013-04-28,"MA Chidambaram Stadium, Chepauk",Chennai,2,,,field,win,2,,,
2018-04-15,Punjab Cricket Association IS Bindra Stadium,Chandigarh,13,2,2,field,win,13,,,
2019-05-07,MA Chidambaram Stadium,Chennai,2,1,2,bat,win,1,,,158
2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,8,11,8,field,win,8,,,64
2025-04-13,"Sawai Mansingh Stadium, Jaipur",Jaipur,6,7,7,field,win,7,,,99
2012-04-20,"Punjab Cricket Association Stadium, Mohali",Chandigarh,13,17,17,field,win,17,,,
2018-05-17,M.Chinnaswamy Stadium,Bengaluru,17,8,8,field,win,17,,,
2017-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,13,8,13,field,win,8,,,64
2008-05-02,"MA Chidambaram Stadium, Chepauk",Chennai,2,14,2,bat,win,14,,,
2012-04-26,Subrata Roy Sahara Stadium,Pune,9,18,18,bat,win,18,,,
2022-05-11,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,6,3,3,field,win,3,,,39
2019-04-16,Punjab Cricket Association IS Bindra Stadium,Chandigarh,13,6,6,field,win,13,,,189
2023-05-12,"Wankhede Stadium, Mumbai",Mumbai,1,16,16,field,win,1,,,158
2009-05-01,Buffalo Park,East London,,1,1,bat,win,1,,,
2013-05-21,Feroz Shah Kotla,Delhi,2,1,2,bat,win,2,,,
2012-04-19,"MA Chidambaram Stadium, Chepauk",Chennai,2,9,9,field,win,2,,,
2016-04-11,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,13,11,11,field,win,11,,,
2009-05-05,Kingsmead,Durban,13,6,13,field,win,6,,,
2024-05-14,"Arun Jaitley Stadium, Delhi",Delhi,3,15,15,field,win,3,,,46
2023-05-23,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,16,16,field,win,2,,,1
2011-05-24,Wankhede Stadium,Mumbai,17,2,2,field,win,2,,,
2008-05-28,M Chinnaswamy Stadium,Bangalore,17,1,1,field,win,1,,,
2009-05-12,SuperSport Park,Centurion,13,1,13,bat,win,1,,,
2022-04-06,"Maharashtra Cricket Association Stadium, Pune",Pune,1,,,field,win,,,,236
2023-05-04,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,,8,,bat,win,,,,103
2017-05-04,Feroz Shah Kotla,Delhi,14,11,14,field,win,14,,,27
2018-04-18,Sawai Mansingh Stadium,Jaipur,6,,,field,win,,,,93
2024-04-22,"Sawai Mansingh Stadium, Jaipur",Jaipur,1,6,1,bat,win,6,,,207
2010-04-01,Eden Gardens,Kolkata,,18,,bat,win,,,,
2015-04-10,Maharashtra Cricket Association Stadium,Pune,13,6,13,field,win,6,,,
2019-04-08,Punjab Cricket Association IS Bindra Stadium,Chandigarh,8,13,13,field,win,13,,,107
2021-04-30,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,5,17,17,field,win,5,,,169
2009-05-03,New Wanderers Stadium,Johannesburg,17,1,1,bat,win,17,,,
2017-04-22,Wankhede Stadium,Mumbai,1,14,14,field,win,1,,,
2015-05-24,Eden Gardens,Kolkata,1,2,2,field,win,1,,,151
2025-04-13,"Arun Jaitley Stadium, Delhi",Delhi,1,3,3,field,win,1,,,231
2022-04-30,"Brabourne Stadium, Mumbai",Mumbai,17,16,17,bat,win,16,,,74
2014-05-18,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,8,,8,bat,win,,,,78
2021-05-01,"Arun Jaitley Stadium, Delhi",Delhi,2,1,1,field,win,1,,,
2009-05-08,Buffalo Park,East London,14,1,1,bat,win,14,,,
2011-04-09,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,18,6,6,field,win,6,,,
2013-04-20,M Chinnaswamy Stadium,Bangalore,17,6,17,field,win,17,,,
2011-05-05,Nehru Stadium,Kochi,10,,,field,win,10,,,
2016-04-17,M Chinnaswamy Stadium,Bangalore,17,14,14,field,win,14,,,110
2009-05-11,De Beers Diamond Oval,Kimberley,18,6,18,bat,win,18,,,
2023-04-23,"Eden Gardens, Kolkata",Kolkata,2,,,field,win,2,,,16
2019-04-17,Rajiv Gandhi International Stadium,Hyderabad,2,8,2,bat,win,8,,,50
2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai,2,,,bat,win,2,,,
2012-05-17,Himachal Pradesh Cricket Association Stadium,Dharamsala,13,2,13,field,win,13,,,
2018-04-25,M.Chinnaswamy Stadium,Bengaluru,17,2,2,field,win,2,,,6
2018-05-11,Sawai Mansingh Stadium,Jaipur,2,6,2,bat,win,6,,,193
2014-05-21,"Punjab Cricket Association Stadium, Mohali",Chandigarh,13,1,1,field,win,1,,,
2019-03-28,M.Chinnaswamy Stadium,Bengaluru,1,17,17,field,win,1,,,136
2013-05-13,Wankhede Stadium,Mumbai,1,8,8,bat,win,1,,,
2009-04-30,SuperSport Park,Centurion,18,14,14,field,win,14,,,
2021-09-19,Dubai International Cricket Stadium,Dubai,2,1,2,bat,win,2,,,1
2018-05-15,Eden Gardens,Kolkata,6,,,field,win,,,,36
2011-05-28,"MA Chidambaram Stadium, Chepauk",Chennai,2,17,2,bat,win,2,,,
2011-04-24,Sawai Mansingh Stadium,Jaipur,6,10,6,field,win,6,,,
2014-05-14,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,8,13,13,field,win,13,,,65
2008-05-24,Feroz Shah Kotla,Delhi,14,1,14,field,win,14,,,222
2018-05-18,Arun Jaitley Stadium,Delhi,14,2,2,field,win,14,,,173
2011-04-26,Feroz Shah Kotla,Delhi,14,17,17,field,win,17,,,223
2025-05-04,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,5,15,15,field,win,5,,,
2010-04-10,M Chinnaswamy Stadium,Bangalore,17,,17,field,win,17,,,
2025-04-10,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,7,3,3,field,win,3,,,107
2011-04-22,Eden Gardens,Kolkata,,17,17,field,win,17,,,
2013-05-07,Sawai Mansingh Stadium,Jaipur,6,14,14,bat,win,6,,,16
2020-09-29,Sheikh Zayed Stadium,Abu Dhabi,8,3,3,field,win,8,,,64
2014-05-04,M Chinnaswamy Stadium,Bangalore,17,8,17,field,win,17,,,
2024-04-18,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,1,5,5,field,win,1,,,136
2018-05-02,Arun Jaitley Stadium,Delhi,14,6,6,field,win,14,,,27
2023-04-15,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,17,3,3,field,win,17,,,223
2025-05-23,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,8,7,7,field,win,8,,,142
2023-05-06,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,2,2,field,win,2,,,15
2018-04-30,Maharashtra Cricket Association Stadium,Pune,2,14,14,field,win,2,,,
2013-04-22,"MA Chidambaram Stadium, Chepauk",Chennai,2,6,6,bat,win,2,,,
2008-05-12,"Punjab Cricket Association Stadium, Mohali",Chandigarh,13,17,17,bat,win,13,,,
2015-05-13,"Punjab Cricket Association Stadium, Mohali",Chandigarh,13,17,17,field,win,13,,,43
2021-10-06,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,8,17,17,field,win,8,,,76
2012-05-10,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,18,14,18,bat,win,14,,,50
2014-05-02,JSCA International Stadium Complex,Ranchi,2,,2,bat,win,2,,,10
2013-05-24,Eden Gardens,Kolkata,1,6,6,bat,win,1,,,
2020-10-16,Sheikh Zayed Stadium,Abu Dhabi,,1,,bat,win,1,,,110
2022-04-08,"Brabourne Stadium, Mumbai",Mumbai,5,16,16,field,win,16,,,54
2010-03-17,Feroz Shah Kotla,Delhi,14,1,14,field,win,1,,,
2019-05-04,Arun Jaitley Stadium,Delhi,6,3,6,bat,win,3,,,118
2021-04-12,"Wankhede Stadium, Mumbai",Mumbai,5,6,6,field,win,5,,,187
2010-04-14,Sawai Mansingh Stadium,Jaipur,6,17,6,bat,win,17,,,
2014-04-27,Sharjah Cricket Stadium,Unknown,8,2,8,bat,win,2,,,
2010-03-23,M Chinnaswamy Stadium,Bangalore,17,2,2,field,win,17,,,
2020-11-08,Sheikh Zayed Stadium,Abu Dhabi,3,8,3,bat,win,3,,,126
2024-03-31,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,8,16,8,bat,win,16,,,72
2014-05-13,JSCA International Stadium Complex,Ranchi,2,6,6,bat,win,2,,,10
2017-04-06,Maharashtra Cricket Association Stadium,Pune,19,1,19,field,win,19,,,
2022-03-31,"Brabourne Stadium, Mumbai",Mumbai,2,15,15,field,win,15,,,
2009-05-20,Kingsmead,Durban,,6,,field,win,,,,
2008-04-27,"Punjab Cricket Association Stadium, Mohali",Chandigarh,13,14,14,bat,win,13,,,
2024-05-06,"Wankhede Stadium, Mumbai",Mumbai,8,1,1,field,win,1,,,158
2015-04-12,Wankhede Stadium,Mumbai,1,13,1,field,win,13,,,
2022-05-02,"Wankhede Stadium, Mumbai",Mumbai,6,,,field,win,,,,100
2010-03-30,Brabourne Stadium,Mumbai,1,13,1,field,win,1,,,
2022-05-08,"Wankhede Stadium, Mumbai",Mumbai,17,8,17,bat,win,17,,,
2025-05-19,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,15,8,8,field,win,8,,,238
2023-04-09,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,5,8,8,field,win,8,,,162
